CPU Name,Core Count,Performance Core Clock,Boost Clock,TDP,Integrated Graphics,Sockets Supported,Rating,Rating Count,Price
"<div class=""td__nameWrapper""> <p>AMD Ryzen 7 7800X3D</p> <div class=""td__rating"" data-ci=""976""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (208)</div> </div>",Core Count8,Performance Core Clock4.2 GHz,Performance Core Boost Clock5 GHz,TDP120 W,Integrated GraphicsRadeon,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""976""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (208)</td>","<td class=""td__rating td--nowrap"" data-ci=""976""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (208)</td>","<td class=""td__price"">$369.00<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""3hyH99"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>AMD Ryzen 5 7600X</p> <div class=""td__rating"" data-ci=""954""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (113)</div> </div>",Core Count6,Performance Core Clock4.7 GHz,Performance Core Boost Clock5.3 GHz,TDP105 W,Integrated GraphicsRadeon,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""954""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (113)</td>","<td class=""td__rating td--nowrap"" data-ci=""954""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (113)</td>","<td class=""td__price"">$218.46<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""66C48d"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>AMD Ryzen 5 5600X</p> <div class=""td__rating"" data-ci=""977""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (609)</div> </div>",Core Count6,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.6 GHz,TDP65 W,Integrated GraphicsNone,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""977""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (609)</td>","<td class=""td__rating td--nowrap"" data-ci=""977""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (609)</td>","<td class=""td__price"">$151.24<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""g94BD3"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>Intel Core i9-14900K</p> <div class=""td__rating"" data-ci=""917""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (13)</div> </div>",Core Count24,Performance Core Clock3.2 GHz,Performance Core Boost Clock6 GHz,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""917""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (13)</td>","<td class=""td__rating td--nowrap"" data-ci=""917""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (13)</td>","<td class=""td__price"">$544.99<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""ZLjRsY"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>AMD Ryzen 5 7600</p> <div class=""td__rating"" data-ci=""964""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (65)</div> </div>",Core Count6,Performance Core Clock3.8 GHz,Performance Core Boost Clock5.1 GHz,TDP65 W,Integrated GraphicsRadeon,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""964""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (65)</td>","<td class=""td__rating td--nowrap"" data-ci=""964""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (65)</td>","<td class=""td__price"">$260.73<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""yXmmP6"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>AMD Ryzen 5 5600</p> <div class=""td__rating"" data-ci=""975""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (128)</div> </div>",Core Count6,Performance Core Clock3.5 GHz,Performance Core Boost Clock4.4 GHz,TDP65 W,Integrated GraphicsNone,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""975""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (128)</td>","<td class=""td__rating td--nowrap"" data-ci=""975""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (128)</td>","<td class=""td__price"">$134.99<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""PgcG3C"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>Intel Core i5-12400F</p> <div class=""td__rating"" data-ci=""963""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (70)</div> </div>",Core Count6,Performance Core Clock2.5 GHz,Performance Core Boost Clock4.4 GHz,TDP65 W,Integrated GraphicsNone,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""963""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (70)</td>","<td class=""td__rating td--nowrap"" data-ci=""963""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (70)</td>","<td class=""td__price"">$139.78<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""pQNxFT"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>AMD Ryzen 5 5500</p> <div class=""td__rating"" data-ci=""905""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (35)</div> </div>",Core Count6,Performance Core Clock3.6 GHz,Performance Core Boost Clock4.2 GHz,TDP65 W,Integrated GraphicsNone,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""905""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (35)</td>","<td class=""td__rating td--nowrap"" data-ci=""905""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (35)</td>","<td class=""td__price"">$89.99<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""yq2WGX"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>Intel Core i7-13700K</p> <div class=""td__rating"" data-ci=""953""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (111)</div> </div>",Core Count16,Performance Core Clock3.4 GHz,Performance Core Boost Clock5.4 GHz,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""953""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (111)</td>","<td class=""td__rating td--nowrap"" data-ci=""953""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (111)</td>","<td class=""td__price"">$369.99<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""Mm6p99"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>AMD Ryzen 7 7700X</p> <div class=""td__rating"" data-ci=""962""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (91)</div> </div>",Core Count8,Performance Core Clock4.5 GHz,Performance Core Boost Clock5.4 GHz,TDP105 W,Integrated GraphicsRadeon,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""962""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (91)</td>","<td class=""td__rating td--nowrap"" data-ci=""962""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (91)</td>","<td class=""td__price"">$288.41<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""WfqPxr"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>Intel Core i7-14700K</p> <div class=""td__rating"" data-ci=""901""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (14)</div> </div>",Core Count20,Performance Core Clock3.4 GHz,Performance Core Boost Clock5.6 GHz,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""901""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (14)</td>","<td class=""td__rating td--nowrap"" data-ci=""901""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (14)</td>","<td class=""td__price"">$399.99<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""BmWJ7P"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>AMD Ryzen 7 5800X</p> <div class=""td__rating"" data-ci=""956""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (323)</div> </div>",Core Count8,Performance Core Clock3.8 GHz,Performance Core Boost Clock4.7 GHz,TDP105 W,Integrated GraphicsNone,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""956""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (323)</td>","<td class=""td__rating td--nowrap"" data-ci=""956""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (323)</td>","<td class=""td__price"">$208.26<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""qtvqqs"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>AMD Ryzen 9 7950X3D</p> <div class=""td__rating"" data-ci=""931""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (25)</div> </div>",Core Count16,Performance Core Clock4.2 GHz,Performance Core Boost Clock5.7 GHz,TDP120 W,Integrated GraphicsRadeon,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""931""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (25)</td>","<td class=""td__rating td--nowrap"" data-ci=""931""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (25)</td>","<td class=""td__price"">$591.89<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""X6XV3C"">Add</button></td>"
"<div class=""td__nameWrapper""> <p>AMD Ryzen 5 3600</p> <div class=""td__rating"" data-ci=""981""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (1150)</div> </div>",Core Count6,Performance Core Clock3.6 GHz,Performance Core Boost Clock4.2 GHz,TDP65 W,Integrated GraphicsNone,SMTYes,"<td class=""td__rating td--nowrap"" data-ci=""981""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (1150)</td>","<td class=""td__rating td--nowrap"" data-ci=""981""><ul class=""product--rating list-unstyled""><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-full""><use xlink:href=""#shape-star-full""></use></svg></li><li><svg class=""icon shape-star-half""><use xlink:href=""#shape-star-half""></use></svg></li></ul> (1150)</td>","<td class=""td__price"">$110.33<button class=""td__add button button--small pp_add_part"" data-product-location="""" data-product-tag=""9nm323"">Add</button></td>"
